local_date_,Coordinate_Group_,Local_Time_Min,Max_Brightness,Mean_Brightness,Max_Confidence,Mean_Confidence,FRP,Day_Night,Time_Period,Total_Fire_Incidents,FRP_Bin
8/6/15,North-West,11:51:00,385.2,336.4764705882353,100,95.17647058823529,709.4,N,Night,17,700-720
8/7/15,Central-East,14:12:00,341.7,341.15,85,84.5,37.5,D,Afternoon,2,20-40
8/7/15,North-West,3:08:00,394.2,333.6510204081633,100,90.63265306122449,231.9,D,Afternoon,49,220-240
8/8/15,Central-East,22:43:00,330.1,330.1,100,100,48.1,N,Night,1,40-60
8/8/15,North-East,11:39:00,331.9,331.9,81,81,26,D,Morning,1,20-40
8/8/15,North-West,14:56:00,367.8,331.46,100,96.65,374.1,N,Night,20,360-380
8/8/15,South-East,13:16:00,401.1,353.86470588235295,100,96.29411764705883,781.2,N,Night,17,780-800
8/9/15,Central-East,2:57:00,372.8,340.53333333333336,100,92.77777777777777,387.2,D,Afternoon,9,380-400
8/9/15,North-Central,2:56:00,414.5,362.1909090909091,100,96.09090909,444.9,N,Night,11,440-460
8/9/15,North-West,2:56:00,407.8,338.96436781609196,100,94.37931034482759,468.8,D,Afternoon,87,460-480
8/9/15,South-East,12:23:00,450.3,380.34285714285716,100,95.42857142857143,775.9,D,Afternoon,14,760-780
8/10/15,Central-East,14:43:00,444.3,365.73333333333335,100,96.73333333333333,2673.5,D,Afternoon,15,2660-2680
8/10/15,North-Central,3:39:00,387.2,344.89,100,95.5,370.6,D,Afternoon,10,360-380
8/10/15,North-West,3:39:00,357.9,334.0047619047619,100,91.52380952380952,303.7,D,Afternoon,21,300-320
8/10/15,South-East,11:28:00,408.6,368.32,100,95.2,1832.9,D,Afternoon,5,1820-1840
8/11/15,Central-East,2:44:00,394.1,358.55833333333334,100,97.55555555555556,325.6,D,Afternoon,36,320-340
8/11/15,North-Central,12:10:00,436.2,364.22727272727275,100,94.54545454545455,543.4,D,Afternoon,11,540-560
8/11/15,North-West,12:10:00,358.5,328.7782608695652,100,95.95652173913044,81.2,N,Night,23,80-100
8/11/15,South-East,13:47:00,352.1,352.1,94,94,110.7,D,Afternoon,1,100-120
8/12/15,Central-East,3:27:00,388.5,347.3090909090909,100,94.72727272727273,409.5,D,Afternoon,22,400-420
8/12/15,North-Central,3:27:00,501.5,384.2029411764706,100,95.55882352941177,2051.2,D,Afternoon,34,2040-2060
8/12/15,North-East,22:19:00,320.6,318.6,100,97,111.7,N,Night,2,100-120
8/12/15,North-West,3:26:00,501.2,352.42794117647054,100,94.04411764705883,1955.7,D,Afternoon,68,1940-1960
8/13/15,Central-East,2:32:00,404.2,351.3180327868853,100,96.95081967213115,802.5,D,Afternoon,61,800-820
8/13/15,North-Central,11:57:00,343.3,328.625,99,91.25,53.8,D,Morning,4,40-60
8/13/15,North-West,11:57:00,441.9,340.02916666666664,100,91.22916666666667,5567.1,D,Afternoon,48,5560-5580
8/13/15,South-East,13:34:00,347.3,347.3,84,84,124.4,D,Afternoon,1,120-140
8/14/15,Central-East,3:15:00,367.6,341,100,93.04761904761905,430.2,D,Afternoon,21,420-440
8/14/15,North-Central,3:14:00,344.3,327,97,89.25,26.6,N,Early Morning,4,20-40
8/14/15,North-East,22:07:00,347,347,100,100,376.5,N,Night,1,360-380
8/14/15,North-West,3:14:00,395.8,342.3142857142857,100,92.71428571428571,610.3,D,Afternoon,35,600-620
8/14/15,South-East,14:17:00,392.2,366.14,100,95.8,255.4,D,Afternoon,5,240-260
8/15/15,Central-East,2:20:00,363.2,339.0388888888889,100,97.55555555555556,111.9,N,Night,18,100-120
8/15/15,North-East,2:19:00,371.4,345.125,100,96.16666666666667,397.3,N,Night,12,380-400
8/15/15,North-West,3:57:00,358.7,332.4684210526316,100,90.31578947,357.6,D,Afternoon,19,340-360
8/15/15,South-East,22:48:00,367.6,352.3,100,100,103,N,Night,2,100-120
8/16/15,Central-Central,23:32:00,311.2,311.2,82,82,19.2,N,Night,1,0-20
8/16/15,Central-East,3:02:00,487,358.47272727272724,100,96.34090909,1308.1,N,Afternoon,44,1300-1320
8/16/15,North-Central,3:02:00,336.7,323.625,87,84.75,36,N,Afternoon,4,20-40
